"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1229","Click the Charging History","Profile","2026-02-24","passed","2026-02-24","","","",""
"","5262","Clcik the Deposite money","Wallet","2026-02-24","passed","2026-02-24","","","",""
"","1121","Click the Favorite charger","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2201","Select Vehicle Model","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","15620","Add Tax Details","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1004","Wallet","Wallet","2026-02-24","passed","2026-02-24","","","",""
"","19631","enter OTP","Login","2026-02-24","passed","2026-02-24","","","",""
"","1195","Click the my vehicle","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1133","Click the update review button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1141","Click the Wallet button","Wallet","2026-02-24","passed","2026-02-24","","","",""
"","10314","Click the Language button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1051","Click the add vehicle button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","3315","Click the Profile button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1138","click the Charger present in the charger history","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1129","Click the Map Button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","3351","Click the Delete Review button","Map","2026-02-24","passed","2026-02-24","","","",""
"","865","Click the Add vehicle submit button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1732","Clcik the Ev card present in the Map screen","Map","2026-02-24","passed","2026-02-24","","","",""
"","2096","Click the add charger scanner back button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1734","Click the Transaction button","Wallet","2026-02-24","passed","2026-02-24","","","",""
"","3149","Click the Update review button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1752","Click the Transaction button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1634","Click the view Recipt button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","5061","verify the Otp Error message","Login","2026-02-24","passed","2026-02-24","","","",""
"","1947","Click the My Vehicle back button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1131","click the Connector button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1234","Click the my vehicle","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
